latitud,longitud,nn,tipo,empresa,partido,localidad,subestacion,alimentador,afectados,normalizacion estimada
-34.798707720,-58.277905129,11,media,Edesur,Florencio Varela,Florencio Varela,Florencio Varela,R:183-1-15/183-1-15/183-2-27,441,2023-01-05 18:24
-34.885423892,-58.578488217,11,media,Edesur,Ezeiza,Tristan Suarez,S/D,R:955-1-05/955-1-05,135,2023-01-05 13:58
-34.887084509,-58.575503468,11,media,Edesur,Ezeiza,Tristan Suarez,S/D,R:955-1-05/955-1-05,260,2023-01-05 13:58
-34.885136289,-58.576988170,11,media,Edesur,Ezeiza,Tristan Suarez,S/D,R:955-1-05/955-1-05,47,2023-01-05 13:58
-34.822753847,-58.230297946,11,media,Edesur,Florencio Varela,Bosques,Bosques,R:185-1-15/185-1-15,514,2023-01-05 14:38
-34.682059710,-58.508534227,12,media,Edenor,La Matanza,La Tablada,S/D,R:Tapiales/162-Tr1/162-5514,386,2023-01-05 15:00
-34.901535338,-59.047009361,12,media,Edenor,Gral Las Heras,Gral Las Heras,S/D,R:Marcos Paz/363-Tr4/363-5481/132-5511,2,2023-01-05 15:00
-34.6707,-58.8342,22,baja,Edenor,Moreno,La Reja,,,6,
-34.6796,-58.5336,22,baja,Edenor,La Matanza,La Tablada,,,7,
-34.6652,-58.522,22,baja,Edenor,La Matanza,Lomas Del Mirador,,,2,
-34.5909,-58.9443,22,baja,Edenor,Gral Rodriguez,Gral Rodriguez,,,36,
-34.8025,-58.2804,21,baja,Edesur,Florencio Varela,Florencio Varela,,,34,
-34.7487,-58.4935,21,baja,Edesur,Esteban Echeverria,9 De Abril,,,8,
-34.6193,-58.4057,21,baja,Edesur,Capital,San Cristobal,,,6,
-34.7279,-58.3753,21,baja,Edesur,Lanus,Remedios De Escalada,,,9,
-34.6336,-58.3758,21,baja,Edesur,Capital,Barracas,,,7,
-34.6168,-58.5177,21,baja,Edesur,Capital,Capital,,,10,
-34.6081,-58.4418,21,baja,Edesur,Capital,Caballito,,,5,
-34.7896,-58.1512,21,baja,Edesur,Berazategui,Hudson,,,58,
-34.7884,-58.2784,21,baja,Edesur,Florencio Varela,Florencio Varela,,,3,
-34.7231,-58.3088,21,baja,Edesur,Quilmes,Bernal,,,2,
-34.7488,-58.2789,21,baja,Edesur,Quilmes,Quilmes,,,5,
-34.6958,-58.348,21,baja,Edesur,Avellaneda,Sarandi,,,17,
